#CODE;ENGLISH;;;;;;;;;;;RUSSIAN;;x
EVTDESC69000;The lifestyle of a childless courtier has made me suspect that he fancies other men!;;;;;;;;;;;Îáðàç æèçíè áåçäåòíîãî ïðèäâîðíîãî çàñòàâèë ìåíÿ ïîäîçðåâàòü, ÷òî îí ôàíòàçèðóåò î äðóãèõ ìóæ÷èíàõ!;;x
EVTOPTB69032;Maybe I was wrong...;;;;;;;;;;;Âîçìîæíî, ÿ îøèáà[Root.GetLasLsya]...;;x
EVTOPTB69033;I should forgive and forget. I still love him;;;;;;;;;;;ß äîëæ[Root.GetNaEn] ïðîñòèòü è çàáûòü. ß âñ¸ åù¸ ëþáëþ [From.GetHersHis];;x
EVTOPTB69036;As if someone would believe you!;;;;;;;;;;;Êàê áóäòî êòî-òî ïîâåðèò Âàì!;;x
EVTOPTB69039;[Root.Spouse.GetTitledFirstName], you are the one I love!;;;;;;;;;;;[Root.Spouse.GetTitledFirstName], Âû - ìîÿ åäèíñòâåííàÿ ëþáîâü!;;x
EVTOPTB69040;I got to get out of here and tell everyone!;;;;;;;;;;;ß äîëæ[Root.GetNaEn] âûáðàòüñÿ îòñþäà è ðàññêàçàòü âñåì!;;x
EVTOPTB69041;I cackled madly at [From.GetTitledFirstName]'s accusation;;;;;;;;;;;ß õîõîòàë êàê áåçóìíûé, óñëûøàâ â ÷¸ì [From.GetTitledFirstName] îáâèíÿåò ìåíÿ.;;x
EVTOPTB69042;I don't care if everyone knows about this!;;;;;;;;;;;Ìíå ïëåâàòü, äàæå åñëè âñå óçíàþò îá ýòîì!;;x
EVTOPTB69044;I attempt to clear my name;;;;;;;;;;;ß ïûòàþñü î÷èñòèòü ñâî¸ èìÿ îò ãðÿçè.;;x
EVTOPTB69045;I ignore the voice and go back to sleep;;;;;;;;;;;ß íå îáðàùàþ âíèìàíèÿ íà ãîëîñ è èäó ñïàòü.;;x
EVTOPTB69046;Or what? You haven't got anything but rumors!;;;;;;;;;;;Èëè ÷òî? Ó òåáÿ íåò íè÷åãî, êðîìå ñëóõîâ!;;x
EVTOPTB69047;I must recant my acts;;;;;;;;;;;ß äîëæåí îòêàçàòüñÿ îò ýòîãî ïîñòóïêà.;;x
EVTOPTB69050;I don't trust [Root.job_chancellor.GetTitledFirstName] to do a good job;;;;;;;;;;;Íå âåðþ, ÷òî [Root.job_chancellor.GetSheHe] ìîæåò ñäåëàòü ñâîþ ðàáîòó õîðîøî.;;x
EVTOPTB69052;I don't think [Root.job_marshal.GetTitledFirstName] is the right [Root.job_marshal.GetManWoman] for this job;;;;;;;;;;;Íå äóìàþ, ÷òî [Root.job_marshal.GetTitledFirstName] ñïðàâèòñÿ ñ ðàáîòîé.;;x
EVTOPTB69054;I can't say I trust [Root.job_treasurer.GetTitledFirstName];;;;;;;;;;;Íå ìîãó ñêàçàòü, ÷òî [Root.job_treasurer.GetTitledFirstName] ïîëüçóåòñÿ ìîèì äîâåðèåì.;;x
EVTOPTB69056;[Root.job_spymaster.GetTitledFirstName] failed me, now I have to do the job myself;;;;;;;;;;;[Root.job_spymaster.GetTitledFirstName] ïîäâîäèò ìåíÿ, òåïåðü ÿ äîëæåí äåëàòü ýòó ðàáîòó ñàì.;;x
EVTOPTB69058;I cannot trust you with anything, can I?;;;;;;;;;;;Ìîãó ëè ÿ äîâåðÿòü Âàì íàñòîëüêî, íàñêîëüêî õîòåë áû?;;x
EVTOPTB69060;Expose the courtier as not Christian enough;;;;;;;;;;;Âûñòàâèòü ïðèäâîðíîãî, êàê ïëîõîãî õðèñòèàíèíà.;;x
EVTOPTB69061;I shrug the question off. I feel no need to explain myself;;;;;;;;;;;ß ïîæàë[Root.GetEndA] ïëå÷àìè, óñëûøàâ âîïðîñ. ß íå ÷óâñòâóþ ñåáÿ îáÿçàíí[Root.GetOyYm] ÷òî-ëèáî îáúÿñíÿòü.;;x
EVTOPTB69062;Find someone else to extort!;;;;;;;;;;;Íàéäè êîãî-íèáóäü äðóãîãî äëÿ ñâîèõ âûìîãàòåëüñòâ!;;x
EVTOPTB69064;I truly need to repent or I will burn in Hell;;;;;;;;;;;Ìíå äåéñòâèòåëüíî íóæíî ïîêàÿòüñÿ, èëè ÿ â ñàìîì äåëå áóäó ãîðåòü â àäó.;;x
EVTOPTB69065;Ignore him;;;;;;;;;;;Èãíîðèðîâàòü åãî.;;x
EVTOPTB69070;I will tell the whole castle about his cowardice!;;;;;;;;;;;ß ðàññêàæó âñåì â î åãî òðóñîñòè!;;x
EVTOPTB69071;I'm not craven! Just easily startled...;;;;;;;;;;;ß íå òðóñ! Ïðîñòî âïå÷àòëèòåëüíûé...;;x
EVTOPTB69072;Go ahead! I'm n-not afraid...;;;;;;;;;;;Âïåð¸ä! ß í-íå áîþñü...;;x
EVTOPTB69074;I am a coward;;;;;;;;;;;Èçãîíÿþ òðóñà èç ñåáÿ.;;x
EVTOPTB69075;I am NOT a coward!;;;;;;;;;;;ß ÍÅ òðóñ!;;x
EVTOPTB69100;Expose the courtier as not a good Muslim;;;;;;;;;;;Ðàçîáëà÷èòü ïðèäâîðíîãî êàê ïëîõîãî ìóñóëüìàíèíà;;x
EVTOPTC69000;I will accept money in exchange for my silence;;;;;;;;;;;ß ïðèìó äåíüãè â îáìåí íà ìî¸ ìîë÷àíèå.;;x
EVTOPTC69010;I wonder how much my silence is worth to him...;;;;;;;;;;;Èíòåðåñíî, âî ñêîëüêî åìó îáîéä¸òñÿ ìî¸ ìîë÷àíèå...;;x
EVTOPTC69020;This is perhaps a secret he would pay to keep secret...;;;;;;;;;;;Âîçìîæíî, îí çàïëàòèë áû äåíüãè çà ñîõðàíåíèå ýòîãî ñåêðåòà â òàéíå...;;x
EVTOPTC69030;I need a bit of persuasion if he wants me to stay silent...;;;;;;;;;;;Ìíå íóæíî íå÷òî áîëüøåå, åñëè [This.GetSheHe] õî÷åò, ÷òîáû ÿ ìîë÷àë[Root.GetEndA]...;;x
EVTOPTC69040;He might pay for my silence...;;;;;;;;;;;[This.GetSheHeCap] ìîæåò ïëàòèòü çà ìî¸ ìîë÷àíèå...;;x
EVTOPTC69047;The Church is after me, save me!;;;;;;;;;;;Ìåíÿ ñïàñ¸ò Öåðêîâü, ñòîÿùàÿ çà ìîåé ñïèíîé!;;x
EVTOPTC69050;[Root.job_chancellor.GetTitledFirstName] lack of diplomatic skill has cost me dearly!;;;;;;;;;;;[Root.job_chancellor.GetHersHisCap] áåçäàðíîñòü ñëèøêîì äîðîãî ìíå îáõîäèòñÿ!;;x
EVTOPTC69052;I might be persuaded to let you keep your job...;;;;;;;;;;;ß îõîòíî îñòàâëþ òåáå òâîþ ðàáîòó...;;x
EVTOPTC69054;Do you want to keep your job? Then pay up!;;;;;;;;;;;Âû õîòèòå ñîõðàíèòü ðàáîòó? Òîãäà óäâîéòå óñèëèÿ!;;x
EVTOPTC69056;You don't deserve the salary I pay you!;;;;;;;;;;;Âû íå çàñëóæèâàåòå äåíåã, êîòîðûå ÿ Âàì ïëà÷ó!;;x
EVTOPTC69058;You will pay for this fiasco with your own means!;;;;;;;;;;;Âû áóäåòå ïëàòèòü çà ýòî ôèàñêî èç ñîáñòâåííîãî êàðìàíà!;;x
EVTOPTC69060;I could keep quiet, for a price...;;;;;;;;;;;ß ìîã áû ïðîìîë÷àòü, çà çîëîòî...;;x
EVTOPTC69065;I will repent publicly;;;;;;;;;;;ß ïóáëè÷íî ïîêàþñü.;;x
EVTOPTC69070;I could squeeze him for some money...;;;;;;;;;;;Äóìàþ, ÿ ìîãó âûæàòü èç íåãî íåìíîãî çîëîòèøêà...;;x
EVTTOOLTIP69001;[This.GetTitledFirstName] is confronted by [Root.GetTitledFirstName];;;;;;;;;;;[This.GetTitledFirstName] è [Root.GetTitledFirstName] áåñåäóþò äðóã ñ äðóãîì.;;x
EVTTOOLTIP69002;[This.GetTitledFirstName] is blackmailed by [Root.GetTitledFirstName];;;;;;;;;;;[Root.GetTitledFirstName] ïîäâåðãàåòñÿ øàíòàæó ñî ñòîðîíû ïåðñîíàæà [This.GetTitledFirstName].;;x
EVTTOOLTIP69004;[This.GetTitledFirstName] is accused of sodomy by [Root.GetTitledFirstName];;;;;;;;;;;[This.GetTitledFirstName] áóäåò îáâèí¸í â ñîäîìèè;;x
EVTTOOLTIP69011;[This.GetTitledFirstName] is confronted and warned;;;;;;;;;;;[This.GetTitledFirstName] ïðåäóïðåæä¸í;;x
EVTTOOLTIP69012;[This.GetTitledFirstName] is forced to pay for [Root.GetTitledFirstName] silence;;;;;;;;;;;[This.GetTitledFirstName] âûíóæäåíû ïëàòèòü çà ìîë÷àíèå [Root.GetTitledFirstName].;;x
EVTTOOLTIP69013;[Root.GetTitledFirstName] tries to seduce [This.GetTitledFirstName];;;;;;;;;;;[Root.GetTitledFirstName] ïûòàåòñÿ ñîáëàçíèòü ÷åëîâåêà ([This.GetTitledFirstName]);;x
EVTTOOLTIP69017;The child has a too big mouth for its own safety...;;;;;;;;;;;Ðåá¸íîê ñëèøêîì ìíîãî áîëòàåò ðàäè ñîáñòâåííîé áåçîïàñíîñòè...;;x
EVTTOOLTIP69021;[Root.GetTitledFirstName] ask [This.GetTitledFirstName] about his impotence;;;;;;;;;;;[Root.GetTitledFirstName] èíòåðåñóåòñÿ, ÷òî [This.GetTitledFirstName] ìîæåò ñêàçàòü î ñâîåé íåñïîñîáíîñòè èìåòü äåòåé.;;x
EVTTOOLTIP69022;If the secret will remain secret, then [This.GetTitledFirstName] have to pay...;;;;;;;;;;;×òîáû òàéíà îñòàëîñü òàéíîé, [This.GetTitledFirstName] áóäåò ïëàòèòü...;;x
EVTTOOLTIP69031;[This.GetTitledFirstName] is confronted about his adultery by [Root.GetTitledFirstName];;;;;;;;;;;Ïîèíòåðåñîâàòüñÿ, ÷òî [This.GetTitledFirstName] ìîæåò ñêàçàòü î ñâîåé èçìåíå.;;x
EVTTOOLTIP69032;[This.GetTitledFirstName] might decide to tell your wife [Root.Spouse.GetTitledFirstName];;;;;;;;;;;[This.GetTitledFirstName] ìîæåò ðåøèòü, ÷òî Âàøà æåíà, [Root.Spouse.GetTitledFirstName], èìååò ïðàâî âñ¸ çíàòü.;;x
EVTTOOLTIP69033;I should tell his wife [From.Spouse.GetTitledFirstName] about his affair;;;;;;;;;;;[From.GetHersHisCap] [From.Spouse.GetHusbandWife], [From.Spouse.GetTitledFirstName], äîëæ[From.Spouse.GetNaEn] óçíàòü î [From.GetHersHis] ðîìàíå.;;x
EVTTOOLTIP69034;[Root.GetTitledFirstName] is mad as hell at [Root.Spouse.GetTitledFirstName];;;;;;;;;;;[Root.GetTitledFirstName] çëà êàê ÷¸ðò íà ïåðñîíàæà [Root.Spouse.GetTitledFirstName];;x
EVTTOOLTIP69035;[Root.GetTitledFirstName] forgives [Root.Spouse.GetTitledFirstName] little indiscretion;;;;;;;;;;;[Root.GetTitledFirstName] ïðîñòèò íåáîëüøóþ èíòðèæêó, êîòîðóþ ïîçâîëèë[Root.GetEndA] ñåáå [Root.Spouse.GetTitledFirstName].;;x
EVTTOOLTIP69036;[This.GetTitledFirstName] is forced to pay [Root.GetTitledFirstName] for [Root.GetHerHis] silence;;;;;;;;;;;[This.GetTitledFirstName] áóäåò âûíóæäåí[This.GetEndA] çàïëàòèòü Âàì çà Âàøå ìîë÷àíèå.;;x
EVTTOOLTIP69041;[This.GetTitledFirstName] is confronted about occultism;;;;;;;;;;;§Y[This.GetTitledFirstName]§! çàéì¸òñÿ îêêóëüòèçìîì.;;x
EVTTOOLTIP69042;[This.GetTitledFirstName] is blackmailed by [Root.GetTitledFirstName];;;;;;;;;;;[Root.GetTitledFirstName] áóäåò øàíòàæèðîâàòü ÷åëîâåêà, èçâåñòíîãî êàê [This.GetTitledFirstName];;x
EVTTOOLTIP69051;[Root.job_chancellor.GetTitledFirstName] is chastised about [Root.job_chancellor.GetHerHis] lack of diplomatic skill;;;;;;;;;;;[Root.job_chancellor.GetTitledFirstName] ïîäâåðãíåòñÿ óïð¸êàì, òàê êàê ó í[Root.job_chancellor.GetHersHis] îòñóòñòâóþò äèïëîìàòè÷åñêèå ñïîñîáíîñòè.;;x
EVTTOOLTIP69053;[Root.job_marshal.GetTitledFirstName] is chastised about [Root.job_marshal.GetHerHis] lack of martial skill;;;;;;;;;;;[Root.job_marshal.GetTitledFirstName] ïîäâåðãàåòñÿ óïð¸êàì, òàê êàê ó í[Root.job_marshal.GetHersHis] îòñóòñòâóþò ñïîñîáíîñòè ê âîèíñêîìó èñêóññòâó.;;x
EVTTOOLTIP69055;[Root.job_treasurer.GetTitledFirstName] is chastised about [Root.job_treasurer.GetHerHis] lack of stewardship;;;;;;;;;;;[Root.job_treasurer.GetTitledFirstName] ïîäâåðãàåòñÿ óïð¸êàì, òàê êàê ó [Root.job_treasurer.GetHersHis] îòñóòñòâóþò íàâûêè óïðàâëåíèÿ.;;x
EVTTOOLTIP69057;[Root.job_spymaster.GetTitledFirstName] is chastised about [Root.job_spymaster.GetHerHis] lack of intrigue;;;;;;;;;;;[Root.job_spymaster.GetTitledFirstName] ïîäâåðãàåòñÿ óïð¸êàì, òàê êàê ó [Root.job_spymaster.GetHersHis] îòñóòñòâóþò ñïîñîáíîñòè ê èíòðèãå.;;x
EVTTOOLTIP69059;[Root.job_spiritual.GetTitledFirstName] is chastised about [Root.job_spiritual.GetHerHis] lack of learning and [Player.Religion.GetPietyName];;;;;;;;;;;[Root.job_spiritual.GetTitledFirstName] ïîëó÷èò âûãîâîð, òàê êàê [Root.job_spiritual.GetHerHim] íå õâàòàåò îáðàçîâàíèÿ è áëàãî÷åñòèÿ.;;x
EVTTOOLTIP69061;[This.GetTitledFirstName] is confronted about [This.GetHerHis] seemingly lack of piety by [Root.GetTitledFirstName];;;;;;;;;;;[This.GetTitledFirstName] îáðàùàåò âíèìàíèå íà òî, ÷òî [Root.GetTitledFirstName], êàæåòñÿ, íå ñòðàäàåò îò íåäîñòàòêà áëàãî÷åñòèÿ.;;x
EVTTOOLTIP69062;[This.GetTitledFirstName] is blackmailed by [Root.GetTitledFirstName];;;;;;;;;;;[This.GetTitledFirstName] ïîäâåðãàåòñÿ øàíòàæó ñî ñòîðîíû [Root.GetTitledFirstName].;;x
EVTTOOLTIP69071;[This.GetTitledFirstName]'s cowardice is confronted by [Root.GetTitledFirstName];;;;;;;;;;;[This.GetTitledFirstName] òðóñëèâ[This.GetEndA], è [Root.GetTitledFirstName] îñóæäàåò [This.GetHersHis] çà ýòî.;;x
EVTTOOLTIP69072;[This.GetTitledFirstName]'s cowardise is exploited by [Root.GetTitledFirstName];;;;;;;;;;;[Root.GetTitledFirstName] âîñïîëüçóåòñÿ òåì, ÷òî [This.GetTitledFirstName] òðóñëèâ.;;x
EVTTOOLTIP69080;All courtiers will suspect §Y[This.GetTitledFirstName]§! of sodomy;;;;;;;;;;;Âñå ïðèäâîðíûå áóäóò ïîäîçðåâàòü, ÷òî §Y[This.GetTitledFirstName]§! ñîäîìèò[This.GetEndKa].;;x
EVTTOOLTIP69081;All courtiers will suspect §Y[This.GetTitledFirstName]§! of incest;;;;;;;;;;;Âñå ïðèäâîðíûå áóäóò ïîäîçðåâàòü, ÷òî §Y[This.GetTitledFirstName]§! çàìåøàí[This.GetEndA] â èíöåñòå.;;x
EVTTOOLTIP69082;All courtiers will suspect §Y[This.GetTitledFirstName]§! of impotence;;;;;;;;;;;Âñå ïðèäâîðíûå áóäóò ïîäîçðåâàòü, ÷òî §Y[This.GetTitledFirstName]§! íå ìîæåò èìåòü äåòåé.;;x
EVTTOOLTIP69083;All courtiers will suspect §Y[This.GetTitledFirstName]§! of adultery;;;;;;;;;;;Âñå ïðèäâîðíûå áóäóò ïîäîçðåâàòü, ÷òî §Y[This.GetTitledFirstName]§! ñîâåðøèë[This.GetEndA] ïðåëþáîäåÿíèå.;;x
EVTTOOLTIP69084;All courtiers will suspect §Y[This.GetTitledFirstName]§! of occultism;;;;;;;;;;;Âñå ïðèäâîðíûå áóäóò ïîäîçðåâàòü, ÷òî §Y[This.GetTitledFirstName]§! óâëåêàåòñÿ îêêóëüòèçìîì.;;x
EVTTOOLTIP69085;All courtiers will know that §Y[Root.GetTitledFirstName]§! does not trust [Root.GetMyChancellorName] §Y[This.GetTitledFirstName]§!;;;;;;;;;;;Âñå ïðèäâîðíûå óçíàþò, ÷òî §Y[Root.GetTitledFirstName]§! áîëüøå íå ñ÷èòàåò, ÷òî §Y[Root.GetMyChancellorName] [This.GetTitledFirstName]§Y äîñòî[This.GetYnaIn] [Root.GetHersHis] äîâåðèÿ.;;x
EVTTOOLTIP69086;All courtiers will know that §Y[Root.GetTitledFirstName]§! does not trust Marshal §Y[This.GetTitledFirstName]§!;;;;;;;;;;;Âñå ïðèäâîðíûå óçíàþò, ÷òî §Y[Root.GetTitledFirstName]§! áîëüøå íå ñ÷èòàåò, ÷òî §Y[Root.GetMyMarshalName] [This.GetTitledFirstName]§Y äîñòî[This.GetYnaIn] [Root.GetHersHis] äîâåðèÿ.;;x
EVTTOOLTIP69087;All courtiers will know that §Y[Root.GetTitledFirstName]§! does not trust Steward §Y[This.GetTitledFirstName]§!;;;;;;;;;;;Âñå ïðèäâîðíûå óçíàþò, ÷òî §Y[Root.GetTitledFirstName]§! áîëüøå íå ñ÷èòàåò, ÷òî §Y[Root.GetMyTreasurerName] [This.GetTitledFirstName]§Y äîñòî[This.GetYnaIn] [Root.GetHersHis] äîâåðèÿ.;;x
EVTTOOLTIP69088;All courtiers will know that §Y[Root.GetTitledFirstName]§! does not trust Spymaster §Y[This.GetTitledFirstName]§!;;;;;;;;;;;Âñå ïðèäâîðíûå óçíàþò, ÷òî §Y[Root.GetTitledFirstName]§! áîëüøå íå ñ÷èòàåò, ÷òî §Y[Root.GetMySpymasterName] [This.GetTitledFirstName]§Y äîñòî[This.GetYnaIn] [Root.GetHersHis] äîâåðèÿ.;;x
EVTTOOLTIP69089;All courtiers will know that §Y[Root.GetTitledFirstName]§! does not trust [Root.GetLordSpiritualName] [This.GetTitledFirstName];;;;;;;;;;;[Root.GetLordSpiritualName] [This.GetFirstName] ëèøèòñÿ äîâåðèÿ. Âñå ïðèäâîðíûå áóäóò çíàòü, ÷òî [Root.GetTitledFirstName] íå âåðèò ñîâåòíèêó.;;x
EVTTOOLTIP69090;All courtiers will think §Y[This.GetTitledFirstName]§! lacks piety;;;;;;;;;;;Âñå ïðèäâîðíûå áóäóò äóìàòü, ÷òî §Y[This.GetTitledFirstName]§! íåäîñòàòî÷íî áëàãî÷åñòèâ[This.GetEndA].;;x
EVTTOOLTIP69091;All courtiers will think §Y[This.GetTitledFirstName]§! is a coward;;;;;;;;;;;Âñå ïðèäâîðíûå áóäóò äóìàòü, ÷òî §Y[This.GetTitledFirstName]§! - òðóñ[This.GetEndIha].;;x
